承担单位,级别,序号,项目名称,项目批次,支持方向
南方医科大学,省级,161,CRTAM介导T细胞Th17/Tc17极化诱发肿瘤放疗联合免疫治疗不良反应的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,162,ChREBP通过HIF-1α介导小胶质细胞代谢重编程调控神经病理性疼痛的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,163,精神分裂症表观遗传时钟紊乱参与疾病发生的表观遗传机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,164,基于磁共振微动脉血容量和弥散张量构建胶质母细胞瘤术后早期复发诊断模型的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,165,可克服C797S突变的EGFR变构抑制剂的 设计、合成及生物活性评价,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,166,"克罗恩病爬行脂肪生成新机制： STEAP4+周细胞调控HAS1+DPP4+ADMSCs
启动短程快速成脂分化",2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,167,β肾上腺素能受体调控前缘皮层的过度敏感化改善PTSD症状,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,168,tsRNA-5008a通过SLC7A11促进铁死亡诱导房颤心房纤维化的功能及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,169,NR4A1通过Hedgehog-Smo通路促进成骨 分化及其在炎症引发的骨再生障碍中的作用,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,170,印鼠客蚤唾液腺新型去整合素FS145的结构与功能研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,171,TREM2通过PI3K/Rac1调节巨噬细胞活化在系统性硬化症皮肤纤维化中的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,172,X射线光子输运的智能抽样及应用研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,173,基于MARCKS-ED设计的细胞杀伤肽作用效果与分子机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,174,RhoA通过调控巨噬细胞的浸润及极化表型在危重病性神经肌病中的作用研 究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,175,基于肠癌类器官模型探讨KRAS突变通 过KLK6促进肿瘤化疗抵抗的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,176,基于原位扩增体系的单个EV核酸蛋白联合检测新技术,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,177,腹侧海马星形胶质细胞在小鼠焦虑样行为中的作用及其机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,178,靶向控释IL-6介导衰老成纤维细胞铁死亡促糖尿病创面愈合的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,179,通读蛋白PALM2-AKAP2调控VEGF-C相关淋巴管形成及STAT1介导的免疫逃逸促进胃癌淋巴结转移机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,180,5-HT/5-HTR激活RhoA/ROCK通路促进ITP巨核细胞成熟的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,181,AML1-ETO融合基因活化C-myc诱发AML 细胞对BCL-2抑制剂耐药机制及干预研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,182,SHIP1调控IRF3自噬降解在宿主抗疟疾免疫应答中的作用和机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,183,NAT10与AR之间的双向串扰促进去势抗性前列腺癌进展的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,184,白血病抑制因子受体LIFR调控糖代谢稳态的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,185,外泌体在甲基苯丙胺所致心脏损伤中作用的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,186,意识障碍患者节律感知刺激治疗参数优化与机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,187,酶指导的原位多肽自组装靶向心脏常驻巨噬细胞调控心脏微环境及其心梗治疗的应用研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,188,PPP1CA基因在精神分裂症与生物钟紊乱共病信号通路的分子机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,189,孕期和哺乳期母体昼夜节律紊乱对子代肝脏糖脂代谢影响的小鼠实验研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,190,可高效放大活性自由基的新型光敏剂的研制及在光动力抗瘤增效中的应用研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,191,谷氨酰胺转运体SLC1A5通过重塑免疫微环境介导肝癌PD-1抑制剂治疗抵抗的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,192,胰腺腺泡细胞Atp8b1组蛋白甲基化导 致鞘磷脂代谢紊乱加重慢性胰腺炎纤维化的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,193,骨髓巨噬细胞-间充质细胞轴致B细胞稳态异常在慢性移植物抗宿主病发病中的作用及机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,194,组合STING激动剂的mRNA纳米疫苗抑制 肿瘤转移复发的作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,195,新型仿生纳米囊泡-AIEgen复合体系的 构建及用于耐药肿瘤靶向诊疗的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,196,聚焦海马DG区神经再生，探讨可卡因成瘾戒断后焦虑抑郁样表型调控机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,197,类病毒mRNA纳米递送系统用于靶向基因编辑治疗及脱靶效应的评估,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,198,基于时空精神病理学模式探究阈下抑郁的脑机制及其临床转归,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,199,肺部氧化应激在特发性膜性肾病中的致病作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,200,放疗刺激调控PARP6和PAQR3的剪接模式诱导胶质瘤干细胞前神经元-间质转化的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,201,模型和数据协同驱动的扩散峰度成像新方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,202,基于p-tau适配体的PROTAC分子的构建及其在AD研究中的作用,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,203,UBE2C多泛素化PCNA调控DNA损伤修复及免疫微环境介导肝癌放疗抵抗,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,204,单个EV核酸检测新技术构建及其在结核病的早期诊断中的应用研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,205,RAGE/β-catenin信号轴与Hippo- YAP/TAZ通路Cross-Talk介导线粒体损伤参与TDI激素抵抗型哮喘气道炎症的 机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,206,葛根“不入血”成分PRS驱动 Akkermansia菌分泌褪黑素改善脑卒中预后的机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,207,抑郁症患者的自杀风险管理研究：基于语音特征的识别模型与干预策略,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,208,基于克服耐药性的亚族选择性CDK2抑制剂的结构优化及作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,209,基于两亲性Janus颗粒的碘油药物乳滴微球的构建及其肝癌动脉栓塞治疗研 究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,210,维康颗粒调节“肠-肌”轴改善亚健康骨骼肌衰老变性的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,211,基于多任务深度学习融合肿瘤微环境多模态图像量化特征预测骨肉瘤新辅助化疗疗效的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,212,基于TFEB介导的自噬-溶酶体通路调控 脂代谢探讨“脂三针”抑制AD神经炎症的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,213,基于图像信息感知的多部位医学图像合成方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,214,晚期氧化蛋白产物诱导骨骼肌细胞衰老的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,215,SEC61G与EGFR共扩增并促进胶质母细胞瘤免疫逃逸的作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,216,SCD1介导脂肪酸代谢参与定心方 III号方调控机体脂质稳态作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,217,基于家系和独立个体混合数据的精准定位X染色体数量性状位点统计方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,218,HPV16 E6/E7-TINCR-DHX9信号轴在宫颈癌进展中的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,219,LARP6通过ZNF267/SGMS2介导的鞘磷脂代谢途径调控结直肠癌侵袭转移的分子机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,220,Atf3/c-Jun/Lgals3轴介导小胶质细胞活化在下丘脑损伤后水钠代谢紊乱及功能重建中的作用研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,221,MRP2/MRP3-UGT1A9调控黄芩黄酮的代 谢规律及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,222,基于Nanopore纳米孔三代测序技术的地中海贫血快速高通量基因分型,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,223,COP1介导低频重复经颅磁刺激治疗癫痫的炎性机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,224,SP1/PlexinB2/PAR3信号轴在脊髓损伤后神经修复中的作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,225,MCT4调控肿瘤细胞糖酵解重编程致T细胞耗竭在复发/难治B细胞淋巴瘤中的作用机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,226,术前/术后复发脑胶质瘤磁共振图像配准方法新研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,227,携载“I型AIE光敏剂-柳氮磺吡啶”的血小板仿生纳米囊泡双向诱导铁死亡增敏胃癌化疗的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,228,牛磺酸通过代谢重编程增强TCR-T细胞抗肝癌效应及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,229,“双碳”目标下地区间环境规制互动对企业绿色发展的影响研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提 升
广东外语外贸大学,省级,230,农业保险促进共同富裕的收入和风险再分配效应及路径优化研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,231,基于托宾Q理论的政府补贴创新激励效应与政策优化研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,232,粤港澳大湾区高新技术企业颠覆性创新的动态过程机制研究 ——基于最优区分理论视角,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,233,面向多语种信息的并行后缀数组构造与检索算法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,234,数字化赋能中国制造业企业出口贸易 绿色转型：微观机理、实证识别与政策设计,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,235,基于本体学习和链接综合评价的多目标主题爬行方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,236,贸易摩擦的涟漪效应与企业ESG信息披露：作用机理及传导路径,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,237,中国自主品牌赢得消费者心智优势的路径及后疫情时代应对策略研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,238,环境规制政策协同对高耗能企业绿色创新效率的影响效果与作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,239,对华南南贸易保护的友岸外包措施及其RCEP区域价值链效应研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,240,含随机噪声复杂网络的同步动力学分析与控制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,241,新发展格局背景下家庭负债对中国居民消费的影响研究：机制、效应和政 策,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,242,基于机器学习的个人养老金资产配置与风险管理研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,243,多时空尺度下居民绿化暴露对心理健康与即时情绪的影响研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,244,联合超图学习和对比学习的非完整多视角聚类方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,245,跨语种法律文本中不公平性机理发掘与偏见消除方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,246,均值回归与超越：中国家族企业接班人家庭科学培育与跨代创业研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广州医科大学附属 市八医院,省级,247,NCOA4介导的铁蛋白自噬调控巨噬细胞 铁代谢在结核病发生发展中的作用和 分子机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医院太和分院,省级,248,基于CREB/HO-1途径探讨葛根素介导滋 养细胞铁死亡参与子痫前期发病的机 制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医院太和分院,省级,249,基于“线粒体-NLRP3-NETs”途径探讨 青蒿琥酯改善缺血性脑卒中神经血管重建的作用机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广州市林业和园林科学研究院,省级,250,解磷菌Penicillium brocae在土壤中的定殖动态及其微生态效应研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广州市老人院（广州市老年医院）,省级,251,SLC11A2调控ACSL4抑制细胞铁死亡介导肝癌索拉非尼耐药的作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东机电职业技术学院,市级,1,一种高效集水高分子多孔膜的制备方法及行为机理研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,2,非结构化动态场景下V-SLAM鲁棒性研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东省计量科学研究院,市级,3,体外诊断设备校准急需蛋白质计量关键技术及标准物质研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,4,柔性多连杆机械手非线性动力学分析与实验验证,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东省新兴激光等离子体技术研究院,市级,5,离子注入对金属氧化物薄膜的缺陷及其化学稳定性的影响机制,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,6,网络嵌入视角下粤港澳大湾区区域文化环境对高新技术企业创新能力的影响机制及对策研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,7,BP神经网络辅助MIMO天线快速优化设计方法研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广州市林业和园林科学研究院,市级,8,几种肖竹芋属植物工厂化生产技术研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,9,静电纺丝纳米纤维宏量制备的多场耦合机理与调控方法研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广州科技职业技术大学,市级,10,负载Cu@g-C3N4/rGO的多功能水凝胶促进感染性创面康复的研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东科贸职业学院,市级,11,基于深度学习的钙钛矿薄膜晶界检测研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东科贸职业学院,市级,12,鱼类致病菌荧光假单胞菌、白皮假单胞菌和水型点状假单胞菌三重恒温微流控快速检测方法的建立,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东科贸职业学院,市级,13,甲霜灵对映体在水产动物体内的药动学和残留消除研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广州万协通信息技术有限公司,市级,14,低功耗多模态感算一体芯片研发及智能驾驶应用示范项目,2023年度重点领域研发专题（人工智能）,车辆交通
广州市白云区高新技术企业协会,市级,15,2023年广州市白云区科普“一区一品牌”项目,2023年度科普专题,科普品牌项目
广东机电职业技术学院,市级,16,岭南特色农产品蓄冷储运保鲜关键技术与装备应用,2023年度农村科技特派员专题,市内帮扶方向
广东机电职业技术学院,市级,17,"基于""区块链+绿色碳足迹+MVC电商""多元技术的广东康御新型农业示范园数智化运营模式的创新与实践",2023年度农村科技特派员专题,市内帮扶方向
南方医科大学,省级,18,PCM1及其蛋白互作网络调控中心体稳态在精子发生和成熟中的作用和机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,杰出青年
南方医科大学,省级,19,细胞膜-内质网/肌质网膜介导的钙稳态与心血管病机理,2023年度广东省基础与应用基础研究基金自然科学基金项目,杰出青年
南方医科大学,省级,20,基于荧光纳米流式技术的循环细菌胞外囊泡检测新方法的构建及其临床应用,2023年度广东省基础与应用基础研究基金自然科学基金项目,杰出青年
南方医科大学,省级,21,纳米硒载药体系靶向激活造血微环境Notch信号对射线损伤后造血干细胞重塑的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,22,“cGAS-STING-自噬”轴识别及调控幽门螺杆菌感染的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,23,内质网靶向自组装纳米药物多策略增强肿瘤光动力学治疗及抗肿瘤免疫,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,24,糖尿病患者APLN/APJ轴异常活化损伤血睾屏障和精子质量的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,25,靶向性MOV纳米颗粒重建气道粘膜免疫耐受功能及其抑制哮喘炎症反应的机 理研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,26,NLRP3炎症小体与肠道菌群互作在脑出血后皮质脊髓束损伤中的作用及机制 研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,27,铜氧体系下缺电子芳香氮杂环的绿色转化研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,28,瘦素受体SNO化在小胶质细胞介导的蛛 网膜下腔出血后癫痫的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,29,RNA适配体介导的hfCas13d-RNP外泌体高效抑制登革病毒感染和耐药的机制 研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,30,以Collagen-IV为结构基础的基底膜参与SVF-gel移植后体内成脂的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,31,非氧依赖的电动力学-免疫级联疗法治疗乏氧耐药肿瘤的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
